Anthos,2022-09-02,google-hangouts,wtfffff
KnEx,2022-09-02,google-hangouts,I don't even like roller coasters so I don't feel like I need to go anyways
kp,2022-09-02,google-hangouts,you guys decide like now lol
KnEx,2022-09-02,google-hangouts,lmfaooo 😭
kp,2022-09-02,google-hangouts,I’m fine w that ig I didn’t buy tickets😭
Hyru,2022-09-02,google-hangouts,😭
Hyru,2022-09-02,google-hangouts,Are we just calling it off tmr then
KnEx,2022-09-02,google-hangouts,ngl I might just wanna stay home tmrw cus I got a lotta hw to do
kp,2022-09-02,google-hangouts,Lol is everyone else good to go tomorrow or are we changing anything
CNsquared,2022-09-02,google-hangouts,🙃
kp,2022-09-02,google-hangouts,Bro what
CNsquared,2022-09-02,google-hangouts,
CNsquared,2022-09-02,google-hangouts,alie ex press
CNsquared,2022-09-02,google-hangouts,doopsie
CNsquared,2022-09-02,google-hangouts,whoopsie
CNsquared,2022-09-02,google-hangouts,and neither can lynne
CNsquared,2022-09-02,google-hangouts,oh also i cant go
Anthos,2022-09-02,google-hangouts,still dk how we meeting tomorrow
Laeloria,2022-09-01,google-hangouts,pick me up sam
Anthos,2022-09-01,google-hangouts,but take your own advice for transportation
Anthos,2022-09-01,google-hangouts,aaron come with us
kp,2022-09-01,google-hangouts,i'll buy later tn
kp,2022-09-01,google-hangouts,no i haven't
Laeloria,2022-09-01,google-hangouts,walk
Anthos,2022-09-01,google-hangouts,also did you buy your ticket <@435327611980480532>
Anthos,2022-09-01,google-hangouts,how the carpool working
Anthos,2022-09-01,google-hangouts,but like
Anthos,2022-09-01,google-hangouts,yes
kp,2022-09-01,google-hangouts,huh aren't we driving sam lol
Anthos,2022-09-01,google-hangouts,wait how are we getting to six flags
kp,2022-08-31,google-hangouts,Oh oops nah I can’t ty thoooo
KnEx,2022-08-31,google-hangouts,wait kait are you g I ng
CNsquared,2022-08-31,google-hangouts,yo mid
Laeloria,2022-08-31,google-hangouts,that dude that was walking in when we walked out 💀
kp,2022-08-31,google-hangouts,pee
Laeloria,2022-08-31,google-hangouts,the bathroom
Laeloria,2022-08-31,google-hangouts,just remembered at balboa park
CNsquared,2022-08-30,google-hangouts,Ye
KnEx,2022-08-30,google-hangouts,target as usual?
KnEx,2022-08-30,google-hangouts,okay
Anthos,2022-08-30,google-hangouts,is everyone gonna meet at 4 and then matt is just late lmao
Anthos,2022-08-30,google-hangouts,don’t question it
Anthos,2022-08-30,google-hangouts,gotchu
KnEx,2022-08-30,google-hangouts,sam send me the recipe
KnEx,2022-08-30,google-hangouts,what did you want
CNsquared,2022-08-30,google-hangouts,Matt can you make my drink
CNsquared,2022-08-30,google-hangouts,I'm bored
CNsquared,2022-08-30,google-hangouts,4?
Anthos,2022-08-30,google-hangouts,what time then
KnEx,2022-08-30,google-hangouts,starting
Laeloria,2022-08-30,google-hangouts,start
its_ash,2022-08-30,google-hangouts,Like done with class or starting class?
Hyru,2022-08-30,google-hangouts,I got class at 6:30
its_ash,2022-08-30,google-hangouts,i think imma use the 3200 film on my dads camera so im bringing that today
its_ash,2022-08-30,google-hangouts,oh yea
KnEx,2022-08-30,google-hangouts,yeah buy a plane ticket
bellebuddy,2022-08-30,google-hangouts,Yea can I get a ride too
Laeloria,2022-08-30,google-hangouts,can i get a ride
KnEx,2022-08-30,google-hangouts,you're going to taco Tuesday right?
bellebuddy,2022-08-30,google-hangouts,wat
Laeloria,2022-08-30,google-hangouts,huh
KnEx,2022-08-30,google-hangouts,oh and <@551191555411804171>
KnEx,2022-08-30,google-hangouts,oh and <@600072194747269122>
KnEx,2022-08-30,google-hangouts,<@736475313353261117> <@535994976656687164> <@435327611980480532>
KnEx,2022-08-30,google-hangouts,is like
its_ash,2022-08-30,google-hangouts,and eric said maybe yesterday so idk
its_ash,2022-08-30,google-hangouts,i am
CNsquared,2022-08-30,google-hangouts,¯\_(ツ)_/¯
KnEx,2022-08-30,google-hangouts,who going today
KnEx,2022-08-30,google-hangouts,I got work until like a bit after 4 so I can meet-up anytime after that
CNsquared,2022-08-30,google-hangouts,When y'all wanna meet up
KnEx,2022-08-30,google-hangouts,yeah I have great lines
Anthos,2022-08-30,google-hangouts,…sure
KnEx,2022-08-30,google-hangouts,because I have good lines
Anthos,2022-08-30,google-hangouts,ok but why was that actually a good line
Hyru,2022-08-30,google-hangouts,Weird name for a bowling place
Laeloria,2022-08-30,google-hangouts,pho was probably mid as well
CNsquared,2022-08-30,google-hangouts,isn't kait so mid at talking
Laeloria,2022-08-30,google-hangouts,pho dublin bowl?
KnEx,2022-08-30,google-hangouts,okay but what is the elite pho place bowl
kp,2022-08-30,google-hangouts,Sam and I are at pho dublin
KnEx,2022-08-30,google-hangouts,huh
kp,2022-08-30,google-hangouts,You guys suck
kp,2022-08-29,google-hangouts,Destroyed the elite pho place bowl
Hyru,2022-08-29,google-hangouts,Kevin’s noodle house was pretty good
Hyru,2022-08-29,google-hangouts,Better
Hyru,2022-08-29,google-hangouts,Saigon city
kp,2022-08-29,google-hangouts,But I don’t mind pho viet too it’s alr
kp,2022-08-29,google-hangouts,Idk soup quality better than pho monsoon and pho viet
KnEx,2022-08-29,google-hangouts,I just don't understand why you think it's better
KnEx,2022-08-29,google-hangouts,nah tho it was fine
KnEx,2022-08-29,google-hangouts,mid place for mid taste lol
Hyru,2022-08-29,google-hangouts,MID
KnEx,2022-08-29,google-hangouts,but why lmao
kp,2022-08-29,google-hangouts,oh no I also think it’s better than other pho places
